system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
00000000000000000054_87,0.0030589743589743,0.0106258064516129,0.026935,0.00476,0.00094,0.00141875,0.0029625,1.5421115,-8.97829665280625e-06,-1.0,water,-16.523117262688213,-68.88106427148088,0.97790056,1.2480016224225564e-05,0.5421115,00000000000000000054,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.88106427148088,-16.523117262688213]}"
00000000000000000058_297,0.0024,0.01125,0.0429,0.0283,0.0075,0.00355,0.0038,1.4763359,-1.9219564493022645e-05,-1.0,water,-16.50398314713647,-69.06270362192984,0.98793364,1.2479914386687165e-05,0.47633588,00000000000000000058,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.06270362192984,-16.50398314713647]}"
00000000000000000025_146,0.0732846153846153,0.08864,0.12682,0.157875,0.19398,0.2078125,0.1790666666666666,0.22698636,-4.69931803814827e-06,-0.01646004,rocky,-16.936521956440018,-69.9237388217584,0.5646793,1.1759221060114731e-05,0.21052632,00000000000000000025,6.0814896,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9237388217584,-16.936521956440018]}"
0000000000000000002f_3,0.02655,0.03455,0.0695,0.06535,0.33985,0.1642,0.08705,0.8309739,-5.599266720279772e-07,-0.0021426384,natural,-16.938677913121904,-69.80435272049893,0.51292706,6.967898261595051e-05,0.82883126,0000000000000000002f,0.0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80435272049893,-16.938677913121904]}"
00000000000000000023_122,0.0532,0.0565,0.0764,0.0942,0.1591,0.2221,0.1692,0.39925963,-3.2394213764774804e-06,-0.009152543,rocky,-17.291985314366112,-70.14149044662898,0.25871173,2.0758926741248903e-05,0.3901071,00000000000000000023,21.319658,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14149044662898,-17.291985314366112]}"
0000000000000000001e_385,0.0626,0.0782,0.1111,0.1386,0.2183,0.2587,0.2001,0.369061,-4.899095337407289e-06,-0.013446024,rocky,-17.417839285671256,-70.0115940565453,0.42145768,2.1279589720812897e-05,0.35561496,0000000000000000001e,22.296688,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0115940565453,-17.417839285671256]}"
0000000000000000002b_54,0.0276,0.03535,0.05815,0.0756,0.13425,0.17475,0.13795,0.4972089,-2.6194753728336906e-06,-0.006583907,rocky,-16.903643617041244,-68.62989531804106,0.5884304,2.013917387444497e-05,0.490625,0000000000000000002b,20.712496,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.62989531804106,-16.903643617041244]}"
0000000000000000004b_70,0.066085,0.0797375,0.1269,0.1698666666666667,0.233025,0.331425,0.2593833333333333,0.2421683,-4.499167837734852e-06,-0.012314597,rocky,-17.443171776683428,-67.68262185093702,0.27445185,2.3119092785850448e-05,0.2298537,0000000000000000004b,6.757549,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.68262185093702,-17.443171776683428]}"
00000000000000000011_15,0.0277,0.0376,0.0702,0.0758,0.3656,0.1639,0.0871,0.80712116,-7.078557400230778e-06,-0.01767702,natural,-16.934096505172896,-69.52111391141604,0.5748984,8.097830255732186e-05,0.78944415,00000000000000000011,6.254253,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52111391141604,-16.934096505172896]}"
00000000000000000054_90,0.0349954545454545,0.0495857142857142,0.0841285714285714,0.1065,0.1818,0.2033833333333333,0.15955,0.41550773,-3.27936183830424e-06,-0.008627534,rocky,-16.641425385606755,-68.85788773715059,0.39500287,3.337866681152324e-05,0.4068802,00000000000000000054,15.114241,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.85788773715059,-16.641425385606755]}"
00000000000000000030_69,0.0502,0.06405,0.09495,0.12365,0.2072,0.28805,0.22125,0.4525849,-4.199278147098973e-06,-0.012367492,rocky,-16.902835133285535,-68.48571571493989,0.42086214,2.9159459367877893e-05,0.4402174,00000000000000000030,12.693484,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.48571571493989,-16.902835133285535]}"
0000000000000000001a_415,0.0758,0.0932,0.1394,0.1843,0.263,0.3713,0.2894,0.327894,-1.6597671350648824e-06,-0.0059511005,rocky,-17.512431885089043,-70.13232763073097,0.1717426,2.893872202902603e-05,0.3219429,0000000000000000001a,25.536655,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13232763073097,-17.512431885089043]}"
00000000000000000006_11,0.0237,0.0395,0.0911,0.0923,0.3467,0.1524,0.0796,0.8255705,-3.8793706133022354e-06,-0.012102308,natural,-17.270425747547243,-70.3678658982271,0.20932311,5.979889604634803e-05,0.8134682,00000000000000000006,3.45002,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3678658982271,-17.270425747547243]}"
00000000000000000014_72,0.02565,0.0326,0.054,0.06565,0.2721,0.1487,0.07545,0.78349566,2.2596302332589246e-06,0.006858045,natural,-17.152387119213937,-69.80084929089085,0.2132047,6.511920028412499e-05,0.7903537,00000000000000000014,0.9705701,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80084929089085,-17.152387119213937]}"
