system:index,B1,B2,B3,B4,B5,B6,B7,aspect,class,class_name,dry_ndvi_mean,elevation,evi_EVI_max,evi_EVI_mean,evi_EVI_median,evi_EVI_min,evi_EVI_p10,evi_EVI_p25,evi_EVI_p75,evi_EVI_p90,evi_EVI_stdDev,latitude,longitude,mndwi_MNDWI_max,mndwi_MNDWI_mean,mndwi_MNDWI_median,mndwi_MNDWI_min,mndwi_MNDWI_p10,mndwi_MNDWI_p25,mndwi_MNDWI_p75,mndwi_MNDWI_p90,mndwi_MNDWI_stdDev,msavi_MSAVI_max,msavi_MSAVI_mean,msavi_MSAVI_median,msavi_MSAVI_min,msavi_MSAVI_p10,msavi_MSAVI_p25,msavi_MSAVI_p75,msavi_MSAVI_p90,msavi_MSAVI_stdDev,ndvi_NDVI_max,ndvi_NDVI_mean,ndvi_NDVI_median,ndvi_NDVI_min,ndvi_NDVI_p10,ndvi_NDVI_p25,ndvi_NDVI_p75,ndvi_NDVI_p90,ndvi_NDVI_stdDev,ndvi_amplitude,ndvi_iqr,ndvi_ratio,seasonal_difference,slope,wet_ndvi_mean,year_id,.geo
00000000000000000934_0,0.0027,0.007,0.018600000000000002,0.006200000000000001,5.0E-4,0.0016,0.0015,-0.0,3,Water / Snow,-0.704488,3840,0.019449910759232986,-0.012277749786276168,-0.013886745872550534,-0.041630705183530486,-0.018178944040467913,-0.01663557997681101,-0.007915567282321899,0.0014638430760222521,0.011459508061725713,-15.737810041310928,-70.1935029015795,0.9481865,0.7136167,0.82025117,0.010256411,0.21654502,0.7012987,0.8697674,0.9053255,0.2658547320919214,0.016307064948268835,-0.00944464236517004,-0.010677450099297547,-0.03175360428947971,-0.014891859727439116,-0.013042925031650443,-0.0059644256269406615,0.0011827119586307333,0.009006816073726484,0.2962963,-0.6092762,-0.8155773,-1.0,-1.0,-0.87341774,-0.44927537,0.16898608,0.41273384070493335,1.2962964,0.42414236,0.29336267178601555,0.22886181,0.0,-0.47562617,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1935029015795,-15.737810041310928]}"
00000000000000000935_0,0.0046,0.0081,0.0082,0.001,5.0E-4,0.0053,0.0059,-0.0,3,Water / Snow,-0.3443911,3815,0.016591324420505916,0.0010315228223201818,7.689547341979802E-4,-0.008475966533603108,-0.003702528297894848,-0.0026874496103198066,0.003139717425431712,0.006345821910853892,0.005336402268914791,-15.593091449039273,-69.42113142029353,0.7924528,0.19707702,0.12790698,-0.675,-0.16993465,-0.12451362,0.6041667,0.740458,0.3760093688347252,0.013915719213636435,8.805777981389176E-4,6.01323708134982E-4,-0.0061620293937505455,-0.0027910933605087562,-0.001996015920445293,0.0023932827320288785,0.004933562489034982,0.004196237263161528,0.6666667,-0.1774394,0.058479533,-1.0,-1.0,-0.52380955,0.17201166,0.3,0.5092201776847843,1.6666667,0.6958212,0.6600660262721599,0.34417006,0.0,-2.2104333E-4,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.42113142029353,-15.593091449039273]}"
00000000000000000936_0,0.06505,0.0801,0.13805,0.17535,0.07550000000000001,0.004200000000000001,0.0019000000000000002,-0.0,3,Water / Snow,-0.4109024,3694,0.07546212202158353,-0.07788496713753172,-0.1078894019246045,-0.2677064344068598,-0.2202314296379246,-0.19667322931128112,0.0610855745004404,0.07283803469739104,0.12445135512329646,-18.720037121530915,-67.1096763627256,0.988785,0.5726013,0.9410427,-0.35327265,-0.1994479,-0.14733681,0.98135227,0.98847264,0.5344646726277567,0.08895827483581109,-0.06604447331391748,-0.09536075259774202,-0.2422720348143519,-0.1939557983825141,-0.17079514365974457,0.05871605384435025,0.07204731743929338,0.11213347478350201,0.13022889,-0.26757434,-0.32761055,-0.7318653,-0.7030142,-0.5541728,0.09408075,0.11733408,0.329996399988641,0.86209416,0.64825356,0.17554250654550524,0.21063271,0.0,-0.2002697,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.1096763627256,-18.720037121530915]}"
00000000000000000937_0,0.0044,0.0074,0.009000000000000001,0.0017000000000000001,9.000000000000001E-4,0.0033,0.0035,-0.0,3,Water / Snow,-0.33034003,3815,0.004956694145883336,-0.0012718483232394971,-0.0015843675732769998,-0.006994511998278278,-0.003965945745862196,-0.00318996225211335,7.786140669608141E-4,0.002238249191743347,0.002797366993418176,-15.741043976333758,-69.12738232238645,0.84,0.3415912,0.40443808,-0.37209302,-0.11396648,0.025401795,0.6628788,0.7046053,0.3406861048366753,0.003787074997054496,-9.393716551027852E-4,-0.0011921412365943906,-0.0049657848596503795,-0.0029857112480964343,-0.0023942674832188038,5.97370000913422E-4,0.001809790588089888,0.0021093920712260757,0.35849056,-0.26906198,-0.1,-1.0,-1.0,-0.47826087,0.0028169013,0.06382979,0.41204459893506284,1.3584906,0.4810778,0.35494114502821816,0.4595853,0.0,0.12924528,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.12738232238645,-15.741043976333758]}"
00000000000000000938_0,0.0051,0.010450000000000001,0.0268,0.00495,5.0E-5,0.0022,0.0022500000000000003,-0.0,3,Water / Snow,-0.76869804,3815,0.005437033968516978,-0.01134996540413988,-0.012135491692839317,-0.02566366797284619,-0.01807235594780083,-0.016643262079367557,-0.00759639564124057,-1.3288544320732234E-4,0.007097102891733602,-15.903010222060509,-69.86606698051794,0.9259259,0.7656965,0.8496306,0.24796274,0.49667618,0.70919883,0.8922559,0.9050486,0.18323530716706413,0.0039878003705975384,-0.00851955495229238,-0.009310660635006768,-0.01771238981690615,-0.013617219465056507,-0.01268724533801735,-0.005766744656071743,-1.0005065251955658E-4,0.005207719686045694,0.03811252,-0.6191444,-0.87463176,-1.0,-1.0,-0.9,-0.084337346,0.021276595,0.4126888919380155,1.0381125,0.8156626,0.037735169476801805,0.5222122,0.0,-0.24648581,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86606698051794,-15.903010222060509]}"
00000000000000000939_0,0.0064,0.008700000000000001,0.0077,0.001,0.0,0.0016,0.0017000000000000001,-0.0,3,Water / Snow,-0.4495729,3815,0.009501534863324078,-7.001597166988391E-4,-0.0021255114511929433,-0.006976868995867547,-0.004548616685396264,-0.0037228101898633195,0.0010685473099321472,0.005874240179802832,0.004284371499479278,-16.026977731269003,-69.37208340578061,0.8787879,0.43423223,0.62352943,-0.18367347,-0.14381272,0.06882591,0.73333335,0.7721519,0.370099091132635,0.007608333401577849,-4.812685544615292E-4,-0.0015968114685465107,-0.00518967423885891,-0.003391886989639159,-0.00279553960583917,8.022480982075031E-4,0.004555155203994965,0.0032777270753779997,0.9166667,-0.26130342,-0.25561798,-1.0,-1.0,-0.8095238,0.13494809,0.38235295,0.5622088574423776,1.9166667,0.9444719,0.9075907787474075,0.7030922,0.0,0.25351936,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.37208340578061,-16.026977731269003]}"
0000000000000000093a_0,0.00455,0.01005,0.02495,0.00555,4.0E-4,0.0015,0.0016,-0.0,3,Water / Snow,-0.7039326,3815,-2.4542286359397305E-4,-0.012353535521320218,-0.012040997596624897,-0.025946518400847232,-0.019607843137254905,-0.01762193161976488,-0.007925558189288948,-0.004923810511039702,0.005839345968887917,-16.37705119749038,-68.85869622090631,0.9680851,0.7997168,0.88666666,0.13107511,0.5291262,0.75,0.919598,0.94052047,0.18370220559976663,-1.9704490865579682E-4,-0.009323921062109716,-0.009114940608031419,-0.019356936187507723,-0.014824702308392668,-0.013313397305094399,-0.006055403068778775,-0.004030591839521369,0.004313924740187998,-0.0067114094,-0.62029725,-0.7037037,-1.0,-0.96,-0.8717949,-0.41666666,-0.055776894,0.2972817103316848,0.9932886,0.45512822,-0.006644959828936228,0.23084638,0.0,-0.4730862,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.85869622090631,-16.37705119749038]}"
0000000000000000093b_0,0.0022,0.007100000000000001,0.014372727272727277,0.0041,7.0E-4,0.001325,0.0010875000000000001,-0.0,3,Water / Snow,-0.63882786,3815,0.00808484329671375,-0.007091655596702136,-0.007259528130671507,-0.015943030238614018,-0.012146901781570267,-0.009348872075190771,-0.005899303256897316,-0.0015203371772284093,0.004504401992879,-16.340130439313068,-68.91232564336823,0.93333334,0.7028531,0.81872946,-0.055555556,0.25203252,0.6571429,0.8571384,0.89253634,0.24593425180161205,0.006580093880262483,-0.005396930877061244,-0.0055629455170908,-0.011898872989739184,-0.009267769598672593,-0.0071411521012731405,-0.004564875062126883,-0.0011857292942292208,0.0034351672573791547,0.09289618,-0.5491382,-0.607493,-1.0,-0.9349206,-0.8076923,-0.30864197,-0.10714286,0.305089272740383,1.0928962,0.49905032,0.09197641422252843,0.29358217,0.0,-0.3452457,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.91232564336823,-16.340130439313068]}"
0000000000000000093c_0,0.0088,0.010150000000000001,0.008300000000000002,0.0016,5.0E-5,0.0019,0.0017000000000000001,-0.0,3,Water / Snow,-0.49223095,3815,0.007991338420292845,-0.0027641613174307082,-0.002876090111702149,-0.011371200355003329,-0.007475083056478406,-0.0051055221979673035,-0.0013266918272404143,0.002111263591259369,0.004244010195888864,-15.818927911466922,-69.69116499469986,0.92771083,0.53514475,0.7038705,-0.20379147,-0.1641791,0.34445024,0.7982534,0.875969,0.3478540625242378,0.006192522669256739,-0.001976326654922333,-0.002094506841746724,-0.008127442720646139,-0.005379666653344217,-0.00379094342551603,-9.989031088810385E-4,0.0016103226880623822,0.0031298972485160168,0.7209302,-0.42318308,-0.52380955,-1.0,-1.0,-0.8367347,-0.07692308,0.44444445,0.5107654113020387,1.7209302,0.75981164,0.7137922957392022,0.60269606,0.0,0.11046512,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.69116499469986,-15.818927911466922]}"
0000000000000000093d_0,0.0027,0.008700000000000001,0.0176,0.0043,0.001,0.0028,0.0026000000000000003,-0.0,3,Water / Snow,-0.44077018,3815,0.03755280863714598,-0.006390135500268764,-0.008099215388509239,-0.016875602700096432,-0.014869479017512944,-0.011529592621060724,-0.004071039641748511,2.6362965306337495E-4,0.009116913595122225,-16.387022497144105,-69.01473358575787,0.92,0.65259576,0.73240113,-0.09189189,0.30439276,0.48523206,0.8596491,0.876236,0.2507738374307289,0.05360779289704121,-0.004317996569659357,-0.00632333999925816,-0.012448354470348977,-0.011114261677075576,-0.008885505764256396,-0.0031797143309147957,1.9527345931658058E-4,0.009688619809248792,0.14685315,-0.4380154,-0.43333334,-0.9583333,-0.8974359,-0.71428573,-0.1969697,0.004115226,0.31932127205987115,1.1051865,0.51731604,0.15165557860621443,-0.0016164184,0.0,-0.4423866,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.01473358575787,-16.387022497144105]}"
0000000000000000093e_0,0.0094,0.010950000000000001,0.00795,0.0015,1.0E-4,0.0015,0.00165,-0.0,3,Water / Snow,-0.6602961,3815,0.014023578627115422,-0.0024286539710068854,-0.0033490110549961984,-0.010186757215619693,-0.0065366597668591354,-0.0049121274969981445,-0.0010670081092616303,0.0029052876234747244,0.004601207171020334,-15.473435853194554,-69.7208093990758,0.9270073,0.5491311,0.6910645,-0.7407407,-0.045751635,0.48514852,0.7916667,0.8292683,0.35551401824141254,0.012063759123603635,-0.0017008491789361807,-0.00249464938382582,-0.007146075179457756,-0.004773395974095318,-0.00358428546929912,-7.995206708311109E-4,0.0022017652990132808,0.003570633993220742,0.18181819,-0.59947574,-0.67948717,-1.0,-0.9,-0.74596775,-0.58125,0.08928572,0.30114188070737385,1.1818182,0.16471773,0.18001800716513455,0.22820735,0.0,-0.43208873,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.7208093990758,-15.473435853194554]}"
0000000000000000093f_0,0.00615,0.0092,0.0088,0.0015,3.5000000000000005E-4,0.00185,0.00215,-0.0,3,Water / Snow,-0.24390036,3815,0.025847759070429216,-4.7685533064216527E-4,-0.0027990234980221915,-0.007730962504831852,-0.0054484036177400025,-0.004290130138692496,0.0014536474623078578,0.0045630234056259385,0.006759416810626787,-15.548085853304885,-69.82995470609633,0.9019608,0.4693222,0.6101857,-0.30645162,-0.1,0.08337172,0.74225485,0.8378378,0.36300350468509257,0.021522847006239354,-2.2820415417975113E-4,-0.002093851595334595,-0.005561286293945256,-0.003990460958869901,-0.0031961981570109155,0.0011010504440599478,0.0034130138692191614,0.005366745843052179,1.0,-0.2511068,-0.47142857,-1.0,-0.72727275,-0.625,0.08196721,0.472,0.5181447909573773,2.0,0.70696723,0.9900990099009901,-0.12431717,0.0,-0.36821753,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82995470609633,-15.548085853304885]}"
00000000000000000940_0,0.006750000000000001,0.0086,0.0077,0.00135,2.0E-4,0.0021000000000000003,0.00205,-0.0,3,Water / Snow,-0.48718825,3815,0.009526674689129563,-0.0014236146081878967,-0.002538468602653885,-0.008665041971297048,-0.007432283637965206,-0.003906961800392688,0.0013188320864537077,0.0043939002326182485,0.00432974334784068,-15.832672135313949,-69.59684188986732,0.8918919,0.4094175,0.63441783,-0.23733333,-0.12933753,-0.04616299,0.77104485,0.8227848,0.3975456702058928,0.007581664994141979,-9.972801870912346E-4,-0.0018984840985928897,-0.006360812230218005,-0.005371150739731156,-0.0028904023174356475,0.0010016657355595426,0.003400682457312121,0.0032850785701119484,0.8333333,-0.351284,-0.55050504,-1.0,-1.0,-0.77575755,0.03797468,0.61290324,0.5514198733471548,1.8333333,0.8137322,0.8250824885793252,0.53718823,0.0,0.05,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.59684188986732,-15.832672135313949]}"
00000000000000000941_0,0.006500000000000001,0.009000000000000001,0.008400000000000001,0.0014,1.0E-4,0.0031000000000000003,0.0033,-0.0,3,Water / Snow,-0.24847537,3815,0.013401559454191036,3.678451943776707E-4,-0.002655196219000584,-0.006279692022060832,-0.004795396419437339,-0.0037208313400308303,0.006122648902821314,0.00840935732123745,0.005802664628818983,-15.86123856134895,-69.33839658262613,0.7802198,0.29701352,0.47107437,-0.3735849,-0.2524272,-0.16494845,0.6173913,0.75609756,0.4044933789314034,0.01065535629704406,3.952092387658257E-4,-0.001996413615399373,-0.004580848169317364,-0.0035921256094591514,-0.00278776792134261,0.004803088216113749,0.006700168617366109,0.00452093286564315,0.8181818,-0.05336186,0.084423915,-0.88235295,-0.75,-0.45454547,0.19075145,0.53333336,0.47844856342527375,1.7005348,0.64529693,0.9168813914089559,0.4942152,0.0,0.2457398,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.33839658262613,-15.86123856134895]}"
00000000000000000942_0,0.00605,0.0081,0.0066500000000000005,0.001,2.5E-4,0.0029000000000000002,0.0029500000000000004,-0.0,3,Water / Snow,-0.56153995,3815,0.019957363813670796,-9.565121693116138E-5,-0.0016911901035029403,-0.0092031182330013,-0.0038584500055120715,-0.003481707643687396,0.0013410578264134749,0.005773369023250932,0.006016678412787792,-15.74751184637942,-69.45131481383996,0.73626375,0.26376897,0.384791,-0.68586385,-0.16853933,0.056277055,0.62,0.66451615,0.39923558760324657,0.01780300783791422,1.0962875523883157E-4,-0.001295999583312002,-0.006753045763759791,-0.002794426720679255,-0.002592243376923986,0.0010054348123361145,0.004399116289195537,0.005012274546179591,0.9166667,-0.38688624,-0.52272725,-1.0,-0.9444444,-0.7647059,-0.2,0.4054054,0.520213691172313,1.9166667,0.5647059,0.9075907787474075,1.2225759,0.0,0.661036,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45131481383996,-15.74751184637942]}"
00000000000000000943_0,0.0047,0.008700000000000001,0.0092,0.0019,0.0023,0.006200000000000001,0.005200000000000001,-0.0,3,Water / Snow,0.061394736,3815,0.02175166413334033,0.0025144671048766805,0.0015803613759679713,-0.009477389656106148,-0.0026609898882384245,-0.001301676559408518,0.0032268473701193936,0.010688899577788466,0.005992657662894532,-15.305001737422144,-69.63780506682316,0.5649547,0.22031362,0.18709677,-0.16176471,-0.012269938,0.09337861,0.3529412,0.4920635,0.1795070367273313,0.016134272486772683,0.0019194167465495186,0.001197841299880098,-0.006924355872265142,-0.0019861246853078995,-9.962181386321545E-4,0.002403372828122863,0.007969472717327786,0.00450815454777843,1.0,0.07657209,0.121259026,-1.0,-0.22580644,-0.10869565,0.23076923,0.5,0.3745842562157214,2.0,0.33946487,0.9900990099009901,0.06223879,0.0,0.123633526,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.63780506682316,-15.305001737422144]}"
